player,born,nation,positions,team_count,league_count,season_count,teams,leagues,seasons,player_id,matched_name,match_type,matched_flag,join_player,born_int
Ousmane Dembélé,1997.0,FRA,"FW, FW,MF",2,2,6,"Barcelona, Paris Saint-Germain","ESP-La Liga, FRA-Ligue 1","2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",288230.0,Ousmane Dembélé,exact_name_plus_birth_year,True,ousmane dembélé,1997
Ousmane Toure,2005.0,FRA,DF,1,1,1,Lille,FRA-Ligue 1,2023-24,990732.0,Ousmane Touré,exact_name_plus_birth_year,True,ousmane toure,2005
Ousoumane Camara,1998.0,FRA,MF,1,1,1,Auxerre,FRA-Ligue 1,2022-23,478107.0,Ousoumane Camara,exact_name_plus_birth_year,True,ousoumane camara,1998
Oussama El Azzouzi,2001.0,MAR,MF,1,1,1,Bologna,ITA-Serie A,2023-24,531065.0,Oussama El Azzouzi,exact_name_plus_birth_year,True,oussama el azzouzi,2001
Oussama Falouh,1999.0,MAR,DF,1,1,1,Angers,FRA-Ligue 1,2020-21,599829.0,Oussama Falouh,exact_name_plus_birth_year,True,oussama falouh,1999
Oussama Haddadi,1992.0,TUN,"DF,MF",1,1,1,Dijon,FRA-Ligue 1,2018-19,191407.0,Oussama Haddadi,exact_name_plus_birth_year,True,oussama haddadi,1992
Oussama Idrissi,1996.0,MAR,"FW,MF, MF, MF,FW",2,1,2,"Cádiz, Sevilla",ESP-La Liga,"2020-21, 2021-22",241391.0,Oussama Idrissi,exact_name_plus_birth_year,True,oussama idrissi,1996
Oussama Targhalline,2002.0,MAR,MF,2,1,3,"Le Havre, Marseille",FRA-Ligue 1,"2020-21, 2021-22, 2023-24",667965.0,Oussama Targhalline,exact_name_plus_birth_year,True,oussama targhalline,2002
Ousseynou Ndiaye,1998.0,SEN,MF,1,1,1,Lyon,FRA-Ligue 1,2018-19,627924.0,Ousseynou Ndiaye,exact_name_plus_birth_year,True,ousseynou ndiaye,1998
Owen Beck,2002.0,WAL,"DF,MF",1,1,2,Liverpool,ENG-Premier League,"2021-22, 2023-24",551001.0,Owen Beck,exact_name_plus_birth_year,True,owen beck,2002
Owen Bevan,2003.0,WAL,DF,1,1,1,Bournemouth,ENG-Premier League,2022-23,583990.0,Owen Bevan,exact_name_plus_birth_year,True,owen bevan,2003
Owen Dodgson,2003.0,ENG,"DF,MF",1,1,1,Burnley,ENG-Premier League,2021-22,686839.0,Owen Dodgson,exact_name_plus_birth_year,True,owen dodgson,2003
Owen Goodman,2003.0,CAN,GK,1,1,1,Crystal Palace,ENG-Premier League,2022-23,814848.0,Owen Goodman,exact_name_plus_birth_year,True,owen goodman,2003
Owen Hampson,2004.0,ENG,MF,1,1,1,Sheffield United,ENG-Premier League,2023-24,967340.0,Owen Hampson,exact_name_plus_birth_year,True,owen hampson,2004
Owen Hesketh,2002.0,WAL,MF,1,1,1,Wolves,ENG-Premier League,2023-24,550995.0,Owen Hesketh,exact_name_plus_birth_year,True,owen hesketh,2002
Owen Otasowie,2001.0,USA,MF,1,1,2,Wolves,ENG-Premier League,"2019-20, 2020-21",511815.0,Owen Otasowie,exact_name_plus_birth_year,True,owen otasowie,2001
Ozan Kabak,2000.0,TUR,DF,5,2,6,"Hoffenheim, Liverpool, Norwich City, Schalke 04, Stuttgart","ENG-Premier League, GER-Bundesliga","2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",361260.0,Ozan Kabak,exact_name_plus_birth_year,True,ozan kabak,2000
Ozan Tufan,1995.0,TUR,MF,1,1,1,Watford,ENG-Premier League,2021-22,236471.0,Ozan Tufan,exact_name_plus_birth_year,True,ozan tufan,1995
Pablo,1991.0,BRA,DF,1,1,3,Bordeaux,FRA-Ligue 1,"2018-19, 2019-20, 2020-21",149577.0,Pablo,exact_name_plus_birth_year,True,pablo,1991
Pablo Barrios,2003.0,ESP,MF,1,1,3,Atlético Madrid,ESP-La Liga,"2021-22, 2022-23, 2023-24",775605.0,Pablo Barrios,exact_name_plus_birth_year,True,pablo barrios,2003
Pablo Busto,2005.0,ESP,DF,1,1,1,Real Betis,ESP-La Liga,2023-24,1054909.0,Pablo Busto,exact_name_plus_birth_year,True,pablo busto,2005
Pablo Chavarría,1988.0,ARG,FW,2,2,2,"Mallorca, Reims","ESP-La Liga, FRA-Ligue 1","2018-19, 2019-20",118732.0,Pablo Chavarría,exact_name_plus_birth_year,True,pablo chavarría,1988
Pablo Cuñat,2002.0,ESP,GK,1,1,2,Levante,ESP-La Liga,"2020-21, 2021-22",,,,False,pablo cuñat,2002
Pablo Durán,2001.0,ESP,FW,1,1,1,Celta Vigo,ESP-La Liga,2022-23,905997.0,Pablo Durán,exact_name_plus_birth_year,True,pablo durán,2001
Pablo Fornals,1996.0,ESP,"MF, MF,FW",3,2,6,"Real Betis, Villarreal, West Ham United","ENG-Premier League, ESP-La Liga","2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",357885.0,Pablo Fornals,exact_name_plus_birth_year,True,pablo fornals,1996
Pablo Galdames Millán,1996.0,CHI,MF,2,1,3,"Cremonese, Genoa",ITA-Serie A,"2021-22, 2022-23, 2023-24",,,,False,pablo galdames millán,1996
Pablo Gozalbez,2001.0,ESP,MF,1,1,2,Valencia,ESP-La Liga,"2019-20, 2023-24",622992.0,Pablo Gozálbez,exact_name_plus_birth_year,True,pablo gozalbez,2001
Pablo Gálvez,2001.0,ESP,FW,1,1,1,Mallorca,ESP-La Liga,2021-22,632499.0,Pablo Gálvez,exact_name_plus_birth_year,True,pablo gálvez,2001
Pablo Hernández,1985.0,ESP,MF,1,1,1,Leeds United,ENG-Premier League,2020-21,46220.0,Pablo Hernández,exact_name_plus_birth_year,True,pablo hernández,1985
Pablo Hervías,1993.0,ESP,"DF,MF, MF, MF,FW",2,1,3,"Eibar, Valladolid",ESP-La Liga,"2018-19, 2019-20, 2020-21",142027.0,Pablo Hervías,exact_name_plus_birth_year,True,pablo hervías,1993
Pablo Ibáñez,1998.0,ESP,MF,1,1,2,Osasuna,ESP-La Liga,"2022-23, 2023-24",785353.0,Pablo Ibáñez,exact_name_plus_birth_year,True,pablo ibáñez,1998
Pablo Insua,1993.0,ESP,DF,1,1,2,Huesca,ESP-La Liga,"2018-19, 2020-21",171362.0,Pablo Insua,exact_name_plus_birth_year,True,pablo insua,1993
Pablo Lombo,1999.0,ESP,GK,1,1,1,Leganés,ESP-La Liga,2019-20,497225.0,Pablo Lombo,exact_name_plus_birth_year,True,pablo lombo,1999
Pablo Maffeo,1997.0,ESP,"DF, DF,MF, MF,DF",3,2,5,"Huesca, Mallorca, Stuttgart","ESP-La Liga, GER-Bundesliga","2018-19, 2020-21, 2021-22, 2022-23, 2023-24",251876.0,Pablo Maffeo,exact_name_plus_birth_year,True,pablo maffeo,1997
